Axial Force,Axial Displacement
N,mm
-8.263998,-0.018521667
-39.639881,-0.06887269
-64.515137,-0.11853826
-89.490326,-0.16774786
-133.57224,-0.22039366
-240.47958,-0.27026784
-342.04642,-0.31758797
-440.74548,-0.36668134
-535.62292,-0.41891289
-626.44226,-0.46861422
-715.21777,-0.51899803
-798.78027,-0.56860697
-883.28711,-0.61871064
-960.06647,-0.66895437
-1036.2072,-0.71791363
-1110.0863,-0.76997828
-1178.8204,-0.81857097
-1248.3677,-0.86925578
-1316.4053,-0.91871274
-1383.0187,-0.96816373
-1445.4669,-1.0176326
-1509.0553,-1.0677392
-1570.5283,-1.1174525
-1625.1431,-1.1682386
-1679.666,-1.2171711
-1733.5583,-1.2679662
-1783.0688,-1.3197149
-1829.8667,-1.3683791
-1872.7145,-1.4164234
-1915.5472,-1.4675165
-1953.5891,-1.51599
-1995.9208,-1.5677865
-2037.0076,-1.6186799
-2077.4685,-1.6671772
-2113.8123,-1.7152245
-2175.0281,-1.7668898
-2235.4626,-1.8162931
-2293.6514,-1.8666948
-2353.0269,-1.9167091
-2411.0769,-1.9657607
-2469.0203,-2.015769
-2522.1255,-2.0666327
-2581.2637,-2.1170313
-2640.5417,-2.1658864
-2698.8555,-2.2159839
-2757.7705,-2.2643294
-2816.7061,-2.3173506
-2877.4153,-2.3663783
-2936.4688,-2.415144
-3003.0701,-2.4636979
-3064.2671,-2.5148447
-3130.5293,-2.5649872
-3198.2295,-2.6155825
-3260.9316,-2.6655848
-3330.7617,-2.7137156
-3398.6467,-2.7657325
-3472.7239,-2.8140807
-3548.5938,-2.8623843
-3627.9907,-2.9150898
-3710.2803,-2.9628897
-3797.5264,-3.0128832
-3885.6951,-3.0635977
-3980.3181,-3.1133142
-4072.74,-3.1613822
-4172.4307,-3.211772
-4273.5142,-3.263917
-4386.6831,-3.3112104
-4498.9897,-3.3625331
-4612.354,-3.4129047
-4736.1597,-3.4627969
-4859.71,-3.5123434
-4992.0732,-3.5612845
-5133.6191,-3.6117878
-5277.2466,-3.6617007
-5427.6709,-3.7111337
-5594.1782,-3.7603283
-5755.2495,-3.8105483
-5934.8296,-3.8607116
-6131.9229,-3.9099689
-6335.3032,-3.9602127
-6549.1421,-4.0091004
-6772.6313,-4.059824
-7008.9077,-4.1091824
-7255.4966,-4.1591578
-7520.0127,-4.209372
-7788.9414,-4.2584562
-8080.2681,-4.3075528
-8388.1074,-4.3588457
-8707.2295,-4.407927
-9035.9893,-4.4549222
-9390.8916,-4.5084057
-9754.5967,-4.5559611
-10148.621,-4.6074119
-10555.985,-4.6557689
-10988.385,-4.7051158
-11430.683,-4.7544775
-11893.005,-4.803484
-12360.136,-4.8530426
-12867.636,-4.9067016
-13368.514,-4.952311
-13852.053,-5.0010438
-12096.224,-4.9635377
-10468.836,-4.9167957
-9117.459,-4.8663254
-8010.5493,-4.8132386
-7160.4453,-4.7628665
-6409.313,-4.7149534
-5751.7144,-4.6662297
-5192.7188,-4.6138935
-4716.3423,-4.5631166
-4314.3965,-4.5112724
-3964.2559,-4.4646559
-3661.0173,-4.4137411
-3385.4968,-4.3633995
-3147.0547,-4.3120828
-2930.1421,-4.2643929
-2739.1138,-4.2106714
-2553.9126,-4.1640306
-2396.3784,-4.1104136
-2248.2278,-4.0604677
-2110.2893,-4.0124054
-1981.3258,-3.963336
-1861.1008,-3.913569
-1750.3782,-3.8634801
-1643.4053,-3.8105989
-1547.6256,-3.7627931
-1447.4651,-3.7105646
-1352.8304,-3.6618853
-1263.4756,-3.6114898
-1177.7611,-3.5606766
-1097.222,-3.5126295
-1008.6496,-3.4619117
-931.32977,-3.408962
-854.02295,-3.361341
-777.83038,-3.3085551
-705.20331,-3.2615747
-633.32733,-3.2098975
-562.46686,-3.1618769
-504.26013,-3.1123455
-433.22141,-3.0619764
-367.57529,-3.0103321
-303.36621,-2.9614415
-242.81088,-2.9136117
-187.61633,-2.8621221
-133.14578,-2.8129902
-76.916252,-2.7610774
-28.201939,-2.7114954
6.967783,-2.6613379
25.323965,-2.6118453
40.79528,-2.5596793
41.827652,-2.5115783
41.325298,-2.4614596
40.781406,-2.4122739
42.042694,-2.3612585
42.738579,-2.3117895
41.605068,-2.2615638
41.70602,-2.2104378
41.923763,-2.1634991
41.71254,-2.1117802
42.515808,-2.0618792
41.670353,-2.0104582
41.256752,-1.9609506
40.900242,-1.9117708
42.009075,-1.8606956
41.169579,-1.8095489
40.876026,-1.7632152
42.260719,-1.7119194
40.909927,-1.6617144
41.732471,-1.6111608
42.50491,-1.5626247
40.909088,-1.5116925
41.66048,-1.4620329
41.608791,-1.4130558
42.133499,-1.3624723
42.642559,-1.313677
41.380432,-1.2647445
41.728466,-1.2142266
41.918457,-1.1631842
41.690933,-1.1126603
41.478966,-1.0624672
40.677841,-1.0133142
41.812843,-0.96232545
41.315239,-0.91402483
42.197666,-0.86229396
41.424297,-0.8153851
40.676071,-0.76459301
41.798874,-0.71336579
40.407478,-0.66403699
41.752869,-0.61350417
40.403473,-0.56451809
41.409676,-0.51581514
40.874722,-0.46473992
39.414597,-0.41571212
42.263512,-0.36492002
42.36726,-0.31500113
40.327759,-0.26437294
41.668209,-0.21648359
41.644833,-0.16585541
41.709282,-0.11571896
42.326283,-0.06629777
40.303822,-0.017678261
